ckpt,prediction,ground_truth
800,50,50
800,8,8
800,300,300
800,15,15
800,276000,276000
800,880,880
800,255,255
800,2400,2400
800,142,142
800,50,50
800,235,235
800,3,3
800,5,5
800,24,24
800,4,4
800,16,16
800,33,33
800,27,27
800,15,15
800,56,56
800,12,12
800,36,36
800,7,7
800,4,4
800,270,270
800,10,10
800,240,240
800,3,3
800,37,37
800,3000,3000
800,35,35
800,67,67
800,1,1
800,2,2
800,5,5
800,38,38
800,40,40
800,20,20
800,38,38
800,93,93
800,694,694
800,15,15
800,2,2
800,6,6
800,20,20
800,11,11
800,74,74
800,1375,1375
800,50,50
800,75,75
800,31,31
800,13,13
800,5600,5600
800,60,60
800,72,72
800,100,100
800,6400,6400
800,60,60
800,44,44
800,19,19
800,60,60
800,100,100
800,10,10
800,16,16
800,215,215
800,20,20
800,10,10
800,105,105
800,3,3
800,4000,4000
800,260,260
800,1100,1100
800,2,2
800,220,220
800,22,22
800,23,23
800,7,7
800,8,8
800,138,138
800,90,90
800,15,15
800,100,100
800,16,16
800,31,31
800,700,700
800,1,1
800,6,6
800,20,20
800,26,26
800,2,2
800,66,66
800,4,4
800,32,32
800,247,247
800,60,60
800,5,5
800,50,50
800,1,1
800,25,25
800,14,14
800,5,5
800,1200,1200
800,132,132
800,142,142
800,12,12
800,95,95
800,12,12
800,11,11
800,155,155
800,89,89
800,25,25
800,9,9
800,350,350
800,3,3
800,3,3
800,18000,18000
800,300,300
800,34,34
800,144,144
800,160,160
800,48,48
800,40,40
800,75,75
800,162000,162000
800,36,36
800,92,92
800,2304,2304
800,35,35
800,21,21
800,11,11
800,1,1
800,8400,8400
800,3,3
800,85,85
800,3,3
800,20,20
800,4000,4000
800,32,32
800,120,120
800,5,5
800,4,4
800,50,50
800,2,2
800,1000,1000
800,4,4
800,4,4
800,15,15
800,80,80
800,1,1
800,9,9
800,170,170
800,9300,9300
800,79,79
800,575,575
800,30,30
800,3,3
800,6,6
800,130,130
800,7,7
800,4,4
800,10,10
800,45,45
800,150,150
800,975,975
800,3,3
800,6,6
800,2,2
800,30,30
800,3,3
800,20,20
800,36,36
800,12,12
800,6,6
800,24,24
800,3000,3000
800,11,11
800,2,2
800,10,10
800,15,15
800,35,35
800,6,6
800,4,4
800,43500,43500
800,110,110
800,120,120
800,40,40
800,5,5
800,3,3
800,12,12
800,3,3
800,12,12
800,4,4
800,3,3
800,25,25
800,5,5
800,32,32
800,280,280
800,3,3
800,16,20
800,350,40
800,6,6
800,1,1
800,11,12
800,280,168
800,2,2
800,20,25
800,4000,2000
800,25,60
800,3,5
800,24,9
800,60,60
800,26,16
800,366,366
800,32,16
800,385000,385000
800,44,60
800,8,8
800,20,20
800,1000,500
800,16,42
800,40,18
800,1680,5600
800,120,80
800,9,5
800,25,16
800,10,25
800,26,26
800,6,5
800,140,280
800,10,4
800,72,54
800,142,172
800,60,60
800,16,8
800,66,75
800,280,80
800,2,2
800,9,22
800,26,26
800,50,50
800,92,132
800,50,49
800,227,162
800,5,60
800,50,20
800,2390,2280
800,4,4
800,9,8
800,200,280
800,4,2
800,5,2
800,8,4
800,21,21
800,8,2
800,50,10
800,36,45
800,17,17
800,36,36
800,40,80
800,6,5
800,320,320
800,360,360
800,5,6
800,4000,15000
800,6,5
800,10,10
800,1200,720
800,8,4
800,5,16
800,594,594
800,5,15
800,21,30
800,2,2
800,5,2
800,1,1
800,11,6
800,15,30
800,30,90
800,10,5
800,4000,4000
800,3,3
800,692,1198
800,40,28
800,24,8
800,6,3
800,10,15
800,50,11
800,1000,1000
800,4000,5000
800,23,14
800,168,168
800,16,11
800,525000,180000
800,3,3
800,40,40
800,2,2
800,12,8
800,500,1000
800,2,5
800,576,576
800,41,44
800,200,200
800,50,50
800,12,20
800,310,62
800,25,25
800,18,27
800,36,36
800,50,80
800,90,40
800,14,350
800,92800,129200
800,150,298
800,200000,17500
800,4,8
800,30,52
800,8,10
800,2,2
800,19,842
800,60,60
800,100,140
800,8,16
800,200,100
800,240,160
800,5,8
800,104,132
800,40,50
800,4,4
800,12,12
800,66,56
800,25,75
800,2,2
800,20,100
800,2,4
800,2,3
800,8,3
800,6,4
800,45,36
800,20,42
800,36,16
800,60000,60000
800,85,100
800,60,20
800,20,20
800,2100,1400
800,360,360
800,1000,1000
800,34,34
800,2,1
800,60,60
800,130,100
800,167,187
800,60,37
800,34,29
800,40,4
800,1050,1875
800,120,120
800,576,720
800,16,19
800,2,67
800,4,6
800,300,100
800,18,18
800,25,31
800,1680,1596
800,2,2
800,55,80
800,2,4
800,21,12
800,66,66
800,6,50
800,4,6
800,16,14
800,5,9
800,4,3
800,240,150
800,32,48
800,4,15
800,10,50
800,10,10
800,4,2
800,50,80
800,25,60
800,10000,20000
800,11,11
800,30000,45000
800,18,12
800,40,40
800,300,300
800,5,17
800,255,195
800,17,16
800,40,100
800,6,5
800,2000,7500
800,5,1
800,40,120
800,50,50
800,50,25
800,20,10
800,4,2
800,5,4
800,1170,2400
800,50,70
800,40,50
800,83,88
800,65,54
800,95,90
800,300,18
800,422,410
800,20,5
800,17,21
800,20,40
800,6,6
800,119,15
800,518,452
800,24,24
800,74,83
800,10,21
800,320,150
800,2520,1260
800,3,4
800,2,2
800,375,375
800,36,45
800,1600,1600
800,20,4
800,6,6
800,24,8
800,79,27
800,8,21
800,24,33
800,1000,5000
800,17,17
800,14,12
800,1,4
800,10,10
800,4,1
800,500,800
800,8,2
800,10,6
800,472,460
800,240,40
800,20,15
800,4,2
800,5,5
800,826,826
800,6,20
800,60,70
800,5,30
800,3,4
800,42,48
800,16,10
800,20,20
800,14700,11050
800,1740,500
800,694,1210
800,240,120
800,32,64
800,120,60
800,66,84
800,5,2
800,570,770
800,160,20
800,2,4
800,5,15
800,20,8
800,25,25
800,5,20
800,40,40
800,50,240
800,12,10
800,75,20
800,40,25
800,1/5,3000
800,50,20
800,87,68
800,21600,64800
800,27,21
800,50,120
800,205,205
800,340,374
800,8,54
800,2,8
800,36,56
800,14,6
800,360000,85000
800,2,2
800,20,40
800,6,6
800,20,20
800,20,20
800,30,93
800,5,70
800,40,48
800,5,5
800,4,15
800,4,5
800,4,15
800,15,15
800,350,400
800,1,8
800,3,4
800,255,335
800,2,3
800,130,120
800,8,7
800,13,20
800,42,39
800,20,2
800,50,80
800,9,9
800,28,45
800,105,120
800,22500,20000
800,7,13
800,25,5
800,60,50
800,15,105
800,42,42
800,25,15
800,8,16
800,11,11
800,560,840
800,5,5
800,100,100
800,22,30
800,1318,1218
800,40,3
800,200,200
800,20,50
800,168000,95200
800,131,113
800,20,20
800,45,26
800,5,2
800,155,251
800,50,50
800,255,16
800,34,32
800,4,12
800,160,220
800,8638,7400
800,75,50
800,16,34
800,9,8
800,35,44
800,9,11
800,16,14
800,87,123
800,1,1
800,12,24
800,50,14
800,13,39
800,3000,7200
800,26,20
800,700,700
800,3000,5000
800,45,45
800,193,193
800,16,20
800,50,60
800,1310,1430
800,40,25
800,474,135
800,540,1080
800,1000,1500
800,200,200
800,576,96
800,98,122
800,21,21
800,5,5
800,50,450
800,70,90
800,200,100
800,20,110
800,6,6
800,80,160
800,750,675
800,50,45
800,490,490
800,36,48
800,550,60
800,4,7
800,150,200
800,34,60
800,150,75
800,3,3
800,6,3
800,142,336
800,7,7
800,11,9
800,1,3
800,6,5
800,34,56
800,300,600
800,25,11
800,3,5
800,4,2
800,168,348
800,30,30
800,5,8
800,5000,3000
800,10,15
800,54,54
800,24,6
800,25,27
800,75,87
800,2,4
800,40,75
800,40,20
800,91,273
800,50,25
800,13,23
800,5,4
800,60,48
800,222000,330000
800,4,4
800,65,50
800,40,52
800,50,104
800,6,7
800,4,5
800,12,10
800,350,398
800,186,180
800,1000,1000
800,7200,9360
800,5,5
800,100,50
800,200,120
800,2,1
800,4,7
800,4,4
800,72,18
800,43,9
800,3,3
800,20,20
800,4,3
800,2,4
800,40,40
800,4,5
800,120,120
800,400,200
800,40000,27000
800,50,50
800,40,51
800,2,14
800,142,54
800,47,30
800,110,110
800,27,27
800,20,42
800,159,195
800,12,12
800,22,28
800,5,12
800,2,10
800,6,2
800,98,101
800,40,20
800,42,42
800,175,225
800,30,20
800,18,18
800,2,2
800,160000,40000
800,36,189
800,5,2
800,13,12
800,17,7
800,32,160
800,6,6
800,5,4
800,230,2
800,120,12
800,18,18
800,4,4
800,75,15
800,50,38
800,400,300
800,50,50
800,12,10
800,3,1
800,51,21
800,400,400
800,10,50
800,16,9
800,8,10
800,3,2
800,390,310
800,840,560
800,4000,8000
800,192,2400
800,91,147
800,250,500
800,10,10
800,5,25
800,5,3
800,6,25
800,4,4
800,24,6
800,91,120
800,40,10
800,2,2
800,40,30
800,48,16
800,5,5
800,4,10
800,200,4200
800,5,6
800,4,7
800,3,3
800,17,23
800,50,50
800,30,15
800,50,60
800,192,56
800,1,1
800,60,60
800,40,20
800,40,32
800,3,3
800,2000,3000
800,25,20
800,80000,90000
800,17,23
800,20,33
800,14,12
800,50,48
800,1000,1000
800,56,36
800,40,32
800,8,5
800,5,225
800,60,30
800,40,40
800,92,96
800,5,5
800,5,5
800,165000000,120000
800,4,1
800,25,25
800,169,243
800,2,2
800,21,6
800,47,20
800,45,75
800,22400,9500
800,18,18
800,45,26
800,27000,93000
800,8,9
800,50,100
800,30,30
800,500,75
800,50,50
800,20,20
800,500,750
800,70,70
800,4,4
800,10,15
800,104000,114200
800,145,91
800,44,76
800,168,240
800,8,17
800,2,3
800,2,3
800,66,50
800,10,10
800,40,40
800,15,15
800,3,6
800,35,33
800,16,32
800,350,250
800,20,10
800,32,10
800,45,70
800,75,75
800,20,20
800,40,25
800,50,50
800,30,70
800,40,14
800,3,2
800,25,10
800,34,34
800,10,80
800,31,27
800,2,6
800,3,3
800,95,230
800,20,20
800,260,200
800,11,20
800,49,52
800,155,41
800,9,31
800,570,540
800,105,255
800,60,40
800,291,90
800,27,27
800,20,20
800,2400,1800
800,8,16
800,20,20
800,47,20
800,350,350
800,50,100
800,28,28
800,31,30
800,7,5
800,5,5
800,98,83
800,4,1
800,78,50
800,110,120
800,20,10
800,75,120
800,13,23
800,500,145
800,4,4
800,2325,2325
800,138,319
800,8,5
800,20,20
800,105,105
800,17,17
800,59,63
800,5,5
800,5,10
800,6,11
800,1,1
800,60,58
800,105,50
800,5,3
800,21,21
800,4,3
800,4000,2000
800,2,8
800,17,21
800,312,520
800,65,60
800,16,12
800,18,18
800,4,6
800,3,3
800,6,6
800,36,42
800,5,2
800,2,2
800,40,69
800,4000,50000
800,5,12
800,40,220
800,20,10
800,2,2
800,3,2
800,425,1125
800,34,34
800,2,2
800,120,60
800,4000,14000
800,10800,360
800,104,156
800,30,30
800,26,26
800,575,500
800,350,230
800,42,32
800,216000,43200
800,45,20
800,4,1
800,40,8
800,175,175
800,9,15
800,90,15
800,72,72
800,5,4
800,50,30
800,4,3
800,24,14
800,30,6
800,130,130
800,9,7
800,240,16
800,316,156
800,180,284
800,250,120
800,525,525
800,50,100
800,20,300
800,18,85
800,2,2
800,8,8
800,40,26
800,20,20
800,3,5
800,56000,5600
800,10,13
800,60,10
800,2,2
800,1470,245
800,16,16
800,52,29
800,60,60
800,2800,1520
800,20,20
800,20,50
800,50,10
800,56,64
800,24,17
800,20,20
800,42,38
800,40,40
800,50,140
800,120,480
800,5,2
800,5,3
800,9,9
800,11000,4500
800,4,8
800,50,79
800,2,4
800,5000,6600
800,34,30
800,88,88
800,18,13
800,3360,3360
800,7,5
800,305,210
800,6,20
800,2,12
800,55,55
800,142,112
800,40,50
800,12,10
800,26,48
800,13,13
800,5,7
800,8400,600
800,20,20
800,23,22
800,5,6
800,8,6
800,50,31
800,4,2
800,570,860
800,120,140
800,20,400
800,25,30
800,40,38
800,400,400
800,1710,762
800,291,144
800,4,28
800,2,4
800,50,20
800,98,70
800,3150,7425
800,120,48
800,5,2
800,6,8
800,98,98
800,40,30
800,1000,450
800,1,4
800,100,100
800,59,45
800,78,78
800,40,20
800,50,50
800,42,16
800,10,8
800,308,308
800,3,5
800,45,85
800,50,30
800,16,12
800,25,50
800,280,270
800,1170,1170
800,4,1
800,20,80
800,280,480
800,240000,70000
800,10,5
800,200,750
800,40,7
800,59,57
800,6,6
800,136,64
800,2,3
800,50,36
800,5,3
800,8,36
800,20,10
800,4,2
800,3,3
800,8,9
800,6,4
800,21,43
800,4,2
800,36,60
800,16,18
800,40,80
800,3,3
800,72,36
800,3,2
800,6,3
800,54,63
800,75,45
800,2000,700
800,10,7
800,1092,64
800,2,5
800,500,500
800,4,6
800,2,3
800,75,75
800,240,160
800,50,48
800,50,29
800,2,2
800,10,9
800,55,40
800,252000,262500
800,5,2
800,50,48
800,400,240
800,343,91
800,42,48
800,8,12
800,3,3
800,3,2
800,80,80
800,10,150
800,50,120
800,30,75
800,50,50
800,159,84
800,4,12
800,2,18
800,16,20
800,880,540
800,14,14
800,6,4
800,4,4
800,1100,2050
800,3,4
800,5,4
800,10,7
800,4,8
800,0,25
800,3,5
800,20,20
800,4,4
800,3,2
800,50,50
800,82,82
800,20,15
800,36,36
800,36000,7000
800,10,5
800,32,23
800,8,8
800,50,50
800,130,68
800,50,40
800,110,300
800,3,1
800,36,81
800,40,40
800,4,4
800,25,25
800,416,2125
800,71,71
800,36,34
800,255,595
800,160,32
800,3,15
800,16,24
800,288,288
800,18,34
800,260,360
800,4,4
800,120,1490
800,14,19
800,2880000,2880000
800,2,14
800,20,2
800,3,2
800,17,10
800,40,94
800,30,30
800,4,2
800,50,68
800,48,48
800,78,57
800,150,168
800,40000,50000
800,500,400
800,300,200
800,5,2
800,15,15
800,22,28
800,8,15
800,60,32
800,2,2
800,17,19
800,24,60
800,28,32
800,30,20
800,15,15
800,2,7
800,5,3
800,80,110
800,5,1
800,44,44
800,350,650
800,12,9
800,40,80
800,2100,2100
800,5000,2450
800,20,25
800,17,25
800,4,18
800,11,11
800,20,10
800,3,1
800,4,8
800,6,64
800,16,32
800,12,6
800,4,7
800,570,370
800,14,12
800,2,2
800,45,45
800,155,175
800,5,4
800,100,100
800,3160,3140
800,1630,655
800,14,19
800,5,9
800,4,40
800,4,14
800,142,112
800,20,36
800,8,2
800,280,35
800,3,5
800,50,75
800,4,7
800,36,15
800,6,5
800,5,2
800,120,300
800,90,95
800,4,3
800,6,50
800,35,50
800,5,3
800,10,10
800,200,200
800,4,3
800,3,1
800,24,24
800,2,50
800,10,10
800,5,5
800,200,40
800,10,10
800,5,26
800,8,4
800,14,9
800,4,40
800,800,800
800,71,70
800,86100,7300
800,8,8
800,720,720
800,16,8
800,840,1300
800,16,5
800,50,50
800,200,480
800,576,320
800,579,324
800,150,250
800,3160,2640
800,50,50
800,20,240
800,24,20
800,350,80
800,8,8
800,8,260
800,1230,482
800,104,80
800,130,35
800,14,1
800,7,5
800,34,84
800,91,153
800,694,157
800,40,40
800,4,10
800,4,10
800,3,3
800,47,9
800,14,35
800,3360,4000
800,20,25
800,155,90
800,5,8
800,45,10
800,255,255
800,4,7
800,55,21
800,40,30
800,4,12
800,2,4
800,155,31
800,11,8
800,25,60
800,14,14
800,3,3
800,240000,240000
800,11,6
800,4,8
800,4,8
800,40,200
800,12,45
800,2,2
800,20,20
800,296,112
800,3,3
800,3600,6000
800,1,2
800,36,30
800,16,7
800,13,13
800,6,10
800,15,5
800,50,50
800,4,2
800,70,140
800,1470,2450
800,20,10
800,40,12
800,3,1
800,27,15
800,24,144
800,5,8
800,9400,4800
800,6,10
800,5,5
800,29,32
800,5,10
800,4,8
800,34,98
800,10500,31800
800,66,98
800,242,160
800,240,180
800,500,500
800,7200,10000
800,30,17
800,80,80
800,3,2
800,92,12
800,40,15
800,290,450
800,360,40
800,200,200
800,500,100
800,139,480
800,25,40
800,270,75
800,15,15
800,142,4400
800,32,16
800,36,81
800,6,7
800,8,12
800,18,10
800,4000,400
800,20,20
800,5,6
800,10,10
800,142,120
800,5,2
800,40,40
800,3,3
800,5,1
800,5,5
800,39,50
800,40,50
800,20,50
800,623,621
800,20,10
800,14,14
800,400,240
800,92,128
800,120,300
800,113,276
800,110,220
800,5,3
800,7,4
800,36,84
800,4,2
800,6,6
800,3,2
800,85,25
800,97,539
800,1800,1800
800,160,58
800,1100,2350
800,5,4
800,6,7
800,6,26
800,5,2
800,44,82
800,3600,72
800,40,40
800,48,16
800,40,50
800,38,52
800,5,5
800,141,79
800,5,5
800,50,40
800,10,8
800,5,4
800,20,20
800,14,14
800,45,34
800,68,68
800,20,10
800,40000,25000
800,7237,6277
800,720,1800
800,70,70
800,50,50
800,4,10
800,10,10
800,3,3
800,242,250
800,175,150
800,75,55
800,34,22
800,100,100
800,21,23
800,2,2
800,4,5
800,230,100
800,24,25
800,14,24
800,18,18
800,97,77
800,6,3
800,1476,294
800,36,9
800,5250000,1450000
800,2,2
800,49,70
800,17,5
800,40,140
800,2,8
800,3,2
800,45,45
800,10,5
800,40,80
800,2,5
800,20,12
800,468,342
800,40,33
800,50,40
800,227,227
800,75,75
800,4,4
800,16,5
800,310,310
800,8,10
800,12,8
800,10,10
800,17,6
800,10,10
800,50,15
800,104,76
800,20,100
800,60,72
800,11,14
800,9000,17000
800,220000,118000
800,22,22
800,350,90
800,2,2
800,30,3
800,5,13
800,5,10
800,5,50
800,3,2
800,15400,10800
800,2,2
800,5,2
800,41,28
800,47,49
800,20,10
800,180,180
800,4,4
800,2,1
800,694,11232
800,1,2
800,59,163
800,17,30
800,200,100
800,4,3
800,36,2
800,36,50
800,2,2
800,300,750
800,7,5
800,10,10
800,576,1248
800,131,27
800,70,90
800,16,9
800,1200,800
800,6,3
800,112,272
800,3,6
800,8,24
800,4125,6250
800,78,66
800,142,448
800,2,2
800,20,50
800,16,17
800,16,5
800,175,221
800,40,48
800,168,78
800,3,6
800,16,16
800,6,6
800,110,106
800,50,25
800,0,2
800,24,72
800,14,2
800,11,7
800,41,10
800,130,110
800,1,1
800,100,100
800,6,6
800,5,5
800,18,18
800,5,3
800,88000,70000
800,540,540
800,11,20
800,56,64
800,260,260
800,242,160
800,45,45
800,472,460
800,366,366
800,694,694
800,13,13
800,18,18
800,60,60
800,125,125
800,350,230
800,57500,57500
800,7,7
800,8,6
800,15,15
800,14,14
800,6,7
800,4,8
800,26,26
800,2,2
800,169,243
800,240,16
800,25,25
800,104,104
800,50,80
800,35,35
800,6,5
800,235,235
800,4,12
800,656,500
800,305,210
800,50,36
800,147,147
800,50,40
800,20,20
800,54,54
800,3528,3528
800,43,43
800,296,296
800,27,27
800,38,38
800,255,16
800,120,70
800,50,48
800,665,665
800,180,180
800,6,7
800,20,20
800,14,12
800,60,60
800,25,25
800,1318,1218
800,105,105
800,66,84
800,34,34
800,98,101
800,291,90
800,27,27
800,67,67
800,140000,140000
800,56,36
800,2,2
800,255,335
800,110,60
800,155,31
800,13,13
800,168,120
800,17,23
800,72,72
800,2,4
800,1000,1000
800,2325,2325
800,3,2
800,12,8
800,30,30
800,2950,2280
800,32,64
800,594,594
800,180,180
800,2,2
800,13,8
800,7,5
800,230,230
800,10,5
800,2,14
800,18,18
800,5,3
800,540,540
800,11,20
800,56,64
800,260,260
800,472,460
800,366,366
800,694,694
800,13,13
800,60,60
800,125,125
800,330,230
800,57500,57500
800,7,7
800,8,6
800,14,14
800,4,7
800,4,8
800,26,26
800,2,2
800,169,243
800,240,16
800,25,25
800,104,104
800,55,80
800,35,35
800,3528,3528
800,43,43
800,665,665
800,1318,1218
1000,18,18
1000,48,48
1000,720,720
1000,400,400
1000,500,500
1000,71,71
1000,18000,18000
1000,8,8
1000,4,4
1000,3,3
1000,200,200
1000,20,20
1000,1000,1000
1000,88,88
1000,11,11
1000,30,30
1000,18,18
1000,40,40
1000,1170,1170
1000,168,168
1000,5,5
1000,26,26
1000,10,10
1000,160,160
1000,82,82
1000,310,310
1000,14,14
1000,20,20
1000,4,4
1000,15,15
1000,45,45
1000,308,308
1000,227,227
1000,42,42
1000,60000,60000
1000,366,366
1000,15,15
1000,26,26
1000,45,45
1000,17,17
1000,20,20
1000,17,17
1000,24,24
1000,22,22
1000,1,1
1000,2,2
1000,1000,1000
1000,2,2
1000,240000,240000
1000,67,67
1000,5,5
1000,60,60
1000,17,17
1000,11,11
1000,255,255
1000,3,3
1000,25,25
1000,12,12
1000,240,240
1000,34,34
1000,1800,1800
1000,65960,65960
1000,98,98
1000,12,12
1000,130,130
1000,68,68
1000,11,11
1000,12,12
1000,25,25
1000,2,2
1000,54,54
1000,3,3
1000,1600,1600
1000,350,350
1000,45,45
1000,2100,2100
1000,75,75
1000,24,24
1000,490,490
1000,144,144
1000,826,826
1000,30,30
1000,6,6
1000,98,98
1000,205,205
1000,22,22
1000,20,20
1000,975,975
1000,1,1
1000,2880000,2880000
1000,36,36
1000,36,36
1000,38,38
1000,72,72
1000,32,32
1000,500,500
1000,25,25
1000,20,20
1000,4000,4000
1000,525,525
1000,18,18
1000,48,48
1000,720,720
1000,400,400
1000,500,500
1000,71,71
1000,18000,18000
1000,8,8
1000,4,4
1000,3,3
1000,200,200
1000,20,20
1000,1000,1000
1000,88,88
1000,11,11
1000,30,30
1000,18,18
1000,40,40
1000,1170,1170
1000,168,168
1000,5,5
1000,26,26
1000,10,10
1000,160,160
1000,82,82
1000,310,310
1000,14,14
1000,20,20
1000,4,4
1000,15,15
1000,45,45
1000,308,308
1000,227,227
1000,42,42
1000,60000,60000
1000,366,366
1000,15,15
1000,26,26
1000,45,45
1000,17,17
1000,20,20
1000,17,17
1000,24,24
1000,22,22
1000,1,1
1000,2,2
1000,1000,1000
1000,2,2
1000,240000,240000
1000,67,67
1000,5,5
1000,60,60
1000,17,17
1000,11,11
1000,255,255
1000,3,3
1000,25,25
1000,12,12
1000,240,240
1000,34,34
1000,1800,1800
1000,65960,65960
1000,98,98
1000,12,12
1000,130,130
1000,68,68
1000,11,11
1000,12,12
1000,25,25
1000,2,2
1000,54,54
1000,3,3
1000,1600,1600
1000,350,350
1000,45,45
1000,2100,2100
1000,75,75
1000,24,24
1000,490,490
1000,144,144
1000,826,826
1000,30,30
1000,6,6
1000,98,98
1000,205,205
1000,22,22
1000,20,20
1000,975,975
1000,1,1
1000,2880000,2880000
1000,36,36
1000,36,36
1000,38,38
1000,72,72
1000,32,32
1000,500,500
1000,25,25
1000,20,20
1000,4000,4000
1000,525,525
1000,6,6
1000,2,2
1000,4,4
1000,100,100
1000,4000,4000
1000,100,100
1000,200,200
1000,4,4
1000,50,50
1000,4,4
1000,5,5
1000,4,4
1000,3,3
1000,66,66
1000,4,4
1000,3,3
1000,6,6
1000,10,10
1000,30,30
1000,1,1
1000,4,4
1000,60,60
1000,50,50
1000,13,13
1000,10,10
1000,30,30
1000,56,56
1000,30,30
1000,12,12
1000,3,3
1000,4,4
1000,4,4
1000,300,300
1000,60,60
1000,5,5
1000,4,4
1000,30,30
1000,2,2
1000,3,3
1000,5,5
1000,1,1
1000,55,55
1000,16,16
1000,4,4
1000,50,50
1000,75,75
1000,400000,400000
1000,36,36
1000,55,55
1000,3,3
1000,5,5
1000,6,6
1000,2,2
1000,23,23
1000,10,10
1000,120,120
1000,7,7
1000,6,6
1000,100,100
1000,150,150
1000,6,6
1000,8,8
1000,5,5
1000,8,8
1000,13,13
1000,20,20
1000,5,5
1000,55,55
1000,8,8
1000,3,3
1000,24,24
1000,50,50
1000,40,40
1000,400,400
1000,11,11
1000,40,40
1000,200,200
1000,6,6
1000,25,25
1000,1,1
1000,93,93
1000,60,60
1000,33,33
1000,60,60
1000,3,3
1000,50,50
1000,4000,4000
1000,8,8
1000,5,5
1000,12,12
1000,6,6
1000,24,24
1000,520,520
1000,2,2
1000,4,4
1000,3,3
1000,3500,3500
1000,12,12
1000,74,74
1000,18,18
1000,3,3
1000,50,50
1000,45,45
1000,1,1
1000,20,20
1000,47,47
1000,6,6
1000,5,5
1000,3200,3200
1000,10,10
1000,3160,3160
1000,6,6
1000,240,240
1000,5,5
1000,3,3
1000,10,10
1000,66,66
1000,175,175
1000,940,940
1000,48,48
1000,20,20
1000,5,5
1000,803,803
1000,9,9
1000,43,43
1000,3,3
1000,18,18
1000,-10,-10
1000,120,120
1000,2,2
1000,11,11
1000,3,3
1000,50,50
1000,34,34
1000,50,50
1000,15,15
1000,40,40
1000,1128,1128
1000,9,9
1000,140,140
1000,12,12
1000,21,21
1000,306,306
1000,1,1
1000,30,30
1000,22,22
1000,300,300
1000,6,6
1000,11,11
1000,48,48
1000,50,50
1000,50,50
1000,17,17
1000,5,5
1000,159,159
1000,16,16
1000,12,12
1000,2,2
1000,1,1
1000,92,92
1000,315,315
1000,2,2
1000,2800,2800
1000,700,700
1000,250,250
1000,180,180
1000,70,70
1000,350,350
1000,168,168
1000,64,64
1000,3,3
1000,440,440
1000,5600,5600
1000,5,5
1000,13,13
1000,5,5
1000,5,5
1000,3,3
1000,224000,224000
1000,50,50
1000,6,6
1000,10,10
1000,2,2
1000,15,15
1000,20,20
1000,6,6
1000,280,280
1000,160,160
1000,360,360
1000,98,98
1000,9092,9092
1000,20,20
1000,150,150
1000,40,40
1000,7,7
1000,75,75
1000,4,4
1000,3,3
1000,30,30
1000,40,40
1000,100,100
1000,291,291
1000,2,2
1000,540,540
1000,20,20
1000,12,12
1000,10,10
1000,98,98
1000,5,5
1000,21,21
1000,5,5
1000,5,5
1000,1,1
1000,16,16
1000,5,5
1000,360,360
1000,20,20
1000,2,2
1000,17,17
1000,50,50
1000,25,25
1000,7,7
1000,18,18
1000,7,7
1000,4,4
1000,15,15
1000,13,13
1000,16,16
1000,3,3
1000,7,7
1000,38,38
1000,5,5
1000,36,36
1000,280,280
1000,50,50
1000,100,100
1000,10,10
1000,120,120
1000,90,90
1000,2,2
1000,50,50
1000,73,73
1000,25,25
1000,168000,168000
1000,900,900
1000,8,8
1000,30,30
1000,10,10
1000,500,500
1000,75,75
1000,50,50
1000,20,20
1000,2,2
1000,3,3
1000,4,4
1000,200,200
1000,250,250
1000,2000,2000
1000,36,36
1000,3,3
1000,6,6
1000,180,180
1000,12,12
1000,310,310
1000,5,5
1000,6,6
1000,30,30
1000,14,14
1000,150,150
1000,138,138
1000,24,24
1000,27,27
1000,1,1
1000,23,23
1000,736,736
1000,200,200
1000,20,20
1000,6,6
1000,500,500
1000,90,90
1000,110,110
1000,3,3
1000,26,26
1000,1,1
1000,240,240
1000,14400,14400
1000,200,200
1000,60,60
1000,320,320
1000,15,15
1000,3430,3430
1000,5,5
1000,55,55
1000,20,20
1000,5000,5000
1000,80,80
1000,70,70
1000,8,8
1000,10,10
1000,4,4
1000,77,77
1000,28,28
1000,20,20
1000,180,180
1000,30,30
1000,4,4
1000,145,145
1000,24,24
1000,45,45
1000,15,15
1000,100,100
1000,15,15
1000,16,16
1000,80,80
1000,22,22
1000,7,7
1000,18,18
1000,24,24
1000,120,120
1000,459,459
1000,200,200
1000,4,4
1000,131250,131250
1000,2,2
1000,7,7
1000,5,5
1000,8,8
1000,10,10
1000,623,623
1000,1,1
1000,31,31
1000,12,12
1000,2,2
1000,665,665
1000,4,4
1000,20,20
1000,1,1
1000,29,29
1000,16,16
1000,1,1
1000,3,3
1000,1,1
1000,2000,2000
1000,4,4
1000,30,30
1000,5,5
1000,5,5
1000,2,2
1000,100,100
1000,296,296
1000,2,2
1000,3,3
1000,140000,140000
1000,9,9
1000,15,15
1000,40,40
1000,105,105
1000,1,1
1000,2600,2600
1000,100,100
1000,81,81
1000,20,20
1000,21,21
1000,1,1
1000,17,17
1000,72000,72000
1000,3,3
1000,15,15
1000,17,17
1000,30,30
1000,8,8
1000,3,3
1000,1000,1000
1000,80,80
1000,48,48
1000,4,4
1000,300,300
1000,40,40
1000,12,12
1000,13,13
1000,105,105
1000,428,428
1000,54,54
1000,40,40
1000,2,2
1000,5,5
1000,390,390
